row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,b4.mzML Peak area,b2.mzML Peak area,b3.mzML Peak area,MBCe0151.mzML Peak area,MBCe0152.mzML Peak area,b1.mzML Peak area,MBCe0148.mzML Peak area,MBCe0149.mzML Peak area,MBCe0175.mzML Peak area,MBCe0155.mzML Peak area,MBCe0166.mzML Peak area,MBCe0156.mzML Peak area,MBCe0150.mzML Peak area,MBCe0157.mzML Peak area,MBCe0154.mzML Peak area,MBCe0164.mzML Peak area,MBCe0174.mzML Peak area,MBCe0171.mzML Peak area,MBCe0168.mzML Peak area,MBCe0173.mzML Peak area,MBCe0167.mzML Peak area,MBCe0169.mzML Peak area,MBCe0159.mzML Peak area,MBCe0158.mzML Peak area,MBCe0181.mzML Peak area,MBCe0172.mzML Peak area,MBCe0178.mzML Peak area,MBCe0197.mzML Peak area,MBCe0162.mzML Peak area,MBCe0163.mzML Peak area,MBCe0165.mzML Peak area,MBCe0177.mzML Peak area,MBCe0198.mzML Peak area,MBCe0183.mzML Peak area,MBCe0185.mzML Peak area,MBCe0182.mzML Peak area,MBCe0184.mzML Peak area,MBCe0186.mzML Peak area,MBCe0195.mzML Peak area,MBCe0176.mzML Peak area,MBCe0208.mzML Peak area,MBCe0194.mzML Peak area,MBCe0202.mzML Peak area,MBCe0193.mzML Peak area,MBCe0211.mzML Peak area,MBCe0205.mzML Peak area,MBCe0180.mzML Peak area,MBCe0192.mzML Peak area,MBCe0216.mzML Peak area,MBCe0212.mzML Peak area,MBCe0207.mzML Peak area,MBCe0191.mzML Peak area,MBCe0206.mzML Peak area,MBCe0204.mzML Peak area,MBCe0196.mzML Peak area,MBCe0199.mzML Peak area,MBCe0221.mzML Peak area,MBCe0218.mzML Peak area,MBCe0215.mzML Peak area,MBCe0203.mzML Peak area,MBCe0209.mzML Peak area,MBCe0217.mzML Peak area,MBCe0200.mzML Peak area,MBCe0220.mzML Peak area,MBCe0230.mzML Peak area,preblank.mzML Peak area,MBCe0227.mzML Peak area,MBCe0224.mzML Peak area,MBCe0222.mzML Peak area,MBCe0223.mzML Peak area,MBCe0214.mzML Peak area,MBCe0213.mzML Peak area,MBCe0229.mzML Peak area,MBCe0232.mzML Peak area,MBCe0225.mzML Peak area,MBCe0228.mzML Peak area,MBCe0226.mzML Peak area,MBCe0219.mzML Peak area,MBCe0201.mzML Peak area,MBCe0210.mzML Peak area,MBCe0233.mzML Peak area,MBCe0235.mzML Peak area,MBCe0237.mzML Peak area,MBCe0236.mzML Peak area,MBCe0231.mzML Peak area,MBCe0234.mzML Peak area,
765,130.15899999508395,2.2989,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.3591,0,1005.2491,0,0,0,0,0,0,1172.4594,0,0,0,0,0,1479.1804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95,132.07648482318027,1.0854403,,,,6,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.4915,1384.7833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1831.4669,0,0,0,0,0,0,0,1270.2733,2695.5183,2176.3557,0,0,0,2389.0728,0,0,0,0,0,0,0,0,0,1237.1173,0,1932.5594,0,1673.8737,0,0,0,0,0,1169.9233,0,0,0,0,1320.3236,0,
308,132.102075270263,1.304983,,,,,,,,,,,0,0,0,5743.3467,4363.0894,0,9597.312,4012.077,7194.1997,4896.2495,15121.912,3276.8735,20428.9,1839.9474,17785.715,3927.5952,0,18287.04,23701.998,18910.346,34097.98,29165.473,6654.811,2110.2615,28670.826,21739.66,47067.367,30992.543,15919.685,23003.852,2458.6665,31695.342,4920.4087,37282.945,22977.258,29320.615,17964.256,23217.262,13450.564,29344.459,11891.56,2333.4568,7490.324,7440.882,0,22499.0,39377.832,13529.443,2242.1406,7603.54,24198.33,28721.586,18384.645,22825.906,35428.02,38085.266,2112.804,7661.2305,14064.504,44466.684,27000.873,4879.9927,38244.34,4441.5767,9874.816,0,3856.1467,3368.8342,3277.6167,21486.953,4334.719,8261.242,11410.28,24380.885,4770.6304,4058.0225,4054.4927,6895.568,20309.205,43481.234,0,0,16316.219,6561.9497,16596.955,39474.098,
276,134.04489140023225,1.14065,,,,77,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1832.9679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,135.04751683851296,1.0712671,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228.1904,0,1623.7134,1304.6179,0,0,0,1198.8032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1063.5552,0,0,0,0,1833.5098,0,0,1077.32,0,1583.8875,1109.2446,4503.728,0,0,0,1445.4133,3281.3757,3707.254,1187.0819,4718.899,1892.8995,1989.9264,1668.6946,1271.4106,0,1836.5956,0,2400.9888,2784.8162,0,0,0,0,2773.493,2396.5535,0,1421.0956,1735.051,3820.7751,0,0,1085.1593,0,0,1426.4164,
267,137.04560751930597,1.1942,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1044.8489,0,0,0,0,0,1127.7949,0,0,0,0,0,0,3031.4668,0,0,0,0,1497.8108,0,0,0,0,0,0,0,0,0,0,2026.4104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
398,138.05480537900686,1.0940679,,,,6,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195.7767,6608.2915,0,0,0,0,1423.0411,0,5506.1196,0,3597.6458,3415.1313,1182.5647,0,2039.142,0,6183.5864,10087.134,0,4917.4854,0,0,1003.5786,3521.8677,4542.016,3616.486,2293.9539,6302.763,15682.182,7415.1196,0,1887.5526,2328.1233,17915.72,2776.664,1547.4539,5096.7583,2317.2266,1046.7136,0,3338.3064,0,4570.9917,12331.861,2802.4329,7928.788,4213.008,10363.992,2337.322,2683.273,1080.84,3331.5356,3719.52,7013.4995,1045.7798,1938.9205,3612.3735,3769.7773,11079.968,4171.778,
344,139.05019642289346,1.2517499,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099.6868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
329,140.57410672213751,1.2159833,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068.874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
293,141.0060456877518,1.1887083,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300.1699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132.565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
