parent mass;ATTRIBUTE_Day_cat;ATTRIBUTE_Day_num;ATTRIBUTE_Phases;ATTRIBUTE_replicate;ATTRIBUTE_SampleType;ATTRIBUTE_Shift_Major;cluster index;Compound_Name;GNPSGROUP:1;GNPSGROUP:10;GNPSGROUP:113;GNPSGROUP:15;GNPSGROUP:2;GNPSGROUP:23;GNPSGROUP:29;GNPSGROUP:3;GNPSGROUP:4;GNPSGROUP:44;GNPSGROUP:5;GNPSGROUP:57;GNPSGROUP:6;GNPSGROUP:7;GNPSGROUP:71;GNPSGROUP:8;GNPSGROUP:85;GNPSGROUP:9;GNPSGROUP:99;GNPSGROUP:B;GNPSGROUP:Blanck;GNPSGROUP:Early;GNPSGROUP:Late;GNPSGROUP:MeOH;GNPSGROUP:PB;GNPSGROUP:Peak;GNPSGROUP:Succession;GNPSGROUP:T1;GNPSGROUP:T10;GNPSGROUP:T11;GNPSGROUP:T12;GNPSGROUP:T2;GNPSGROUP:T3;GNPSGROUP:T4;GNPSGROUP:T5;GNPSGROUP:T6;GNPSGROUP:T7;GNPSGROUP:T8;GNPSGROUP:T9;molecularFormula;ClassyFire#class;ClassyFire#level 5;ClassyFire#most specific class;ClassyFire#subclass;ClassyFire#superclass;NPC#class;NPC#pathway;NPC#superclass;precursor mass;RTConsensus;RTMean;Smiles;SpectrumID
657.4974;T10,T7,T9,T8,T12;71,3,44,85,57,7,113;Late;2,9,1,4,3,8,7;Succession;Late;5144;;11514.35299;0;4331.017403;0;4185.789095;0;0;23115.95335;15074.89394;10345.05883;0;23900.80858;0;7296.766033;19456.92333;4006.425878;11686.9542;4526.581055;0;-1;-1;0;139441.5247;-1;0;0;69720.76234;0;11686.9542;0;4331.017403;0;0;0;0;0;10345.05883;23900.80858;19456.92333;C36H69N2O6P;Sphingolipids;;Phosphosphingolipids;Phosphosphingolipids;Lipids and lipid-like molecules;Phosphosphingolipids;Fatty acids;Sphingolipids;657.4974;9.3376;9.3376;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
311.256;T9;71;Late;9;Succession;Late;4057;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;730.3151837;0;0;730.3151837;0;-1;-1;0;1460.630367;-1;0;0;730.3151837;0;0;0;0;0;0;0;0;0;0;0;730.3151837;C19H34O3;Fatty Acyls;;Fatty acid esters;Fatty acid esters;Lipids and lipid-like molecules;Monoacylglycerols;Fatty acids;Glycerolipids;311.256;8.0332;8.0332;;
258.1857;T6;29;Early,Peak;9;Succession;Early;2040;;0;0;0;0;0;0;13174.26078;0;0;0;0;0;0;0;0;0;0;13174.26078;0;-1;-1;13174.26078;0;-1;0;13174.26078;13174.26078;0;0;0;0;0;0;0;0;13174.26078;0;0;0;C17H23NO;Quinolines and derivatives;Hydroquinolones;Hydroquinolones;Quinolones and derivatives;Organoheterocyclic compounds;Quinoline alkaloids;Alkaloids;Anthranilic acid alkaloids;258.1857;6.1785;6.1785;;
490.3745;T10,T9;71,3,85;Late;9,3;Succession;Late;3242;;0;0;0;0;0;0;0;1288.316687;0;0;0;0;0;0;1006.469134;0;1288.316687;1006.469134;0;-1;-1;0;4589.571642;-1;0;0;2294.785821;0;1288.316687;0;0;0;0;0;0;0;0;0;1006.469134;C22H47N7O5;Carboxylic acids and derivatives;Peptides;Oligopeptides;Amino acids, peptides, and analogues;Organic acids and derivatives;Tripeptides;Amino acids and Peptides;Small peptides;490.3745;7.3545;7.3545;;
782.5678;T10,T4,T7,T9,T8,T11;71,3,44,99,85,57,7,15;Late,Early;5,9,4,3,8,6,7;Succession;Early,Late;9056;;0;0;0;75308.52968;0;0;0;26882.43678;4797.087113;6811.896277;8982.031958;10498.25201;26004.86184;33424.95854;14599.42574;12940.59828;15122.67793;13805.7225;4496.915367;-1;-1;150617.0594;103058.3346;-1;0;0;126837.697;0;15122.67793;4496.915367;0;0;0;75308.52968;0;0;6811.896277;10498.25201;14599.42574;;;;;;;;;;782.5678;10.7497;10.7497;;
282.0522;T11;99;Late;8;Succession;Late;511;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7399.745462;0;0;7399.745462;-1;-1;0;14799.49092;-1;0;0;7399.745462;0;0;7399.745462;0;0;0;0;0;0;0;0;0;C9H13N3O4S;Benzene and substituted derivatives;;Phenoxy compounds;Phenoxy compounds;Benzenoids;Phenylethylamines;Alkaloids;Small peptides;282.0522;1.5292;1.5292;;
266.1515;T6;29;Early,Peak;9;Succession;Early;1812;;0;0;0;0;0;0;2042.879471;0;0;0;0;0;0;0;0;0;0;2042.879471;0;-1;-1;2042.879471;0;-1;0;2042.879471;2042.879471;0;0;0;0;0;0;0;0;2042.879471;0;0;0;;;;;;;;;;266.1515;5.6804;5.6804;;
440.4104;T3,T10,T4,T9,T6;71,3,29,85,7,10,15;Late,Early,Peak;2,9,1,4,3,8,6,7;Succession;Early,Late;3884;;9353.150785;11458.43082;0;23510.43865;4415.617369;0;2474.969076;9915.823409;6904.728861;0;0;0;3046.692536;1846.13926;3442.058502;3822.726561;1511.006761;3092.025032;0;-1;-1;72412.70802;9906.130525;-1;0;2474.969076;42396.90381;0;1511.006761;0;0;0;11458.43082;23510.43865;0;2474.969076;0;0;3442.058502;C27H53NO3;Fatty Acyls;N-acyl amines;N-acyl amines;Fatty amides;Lipids and lipid-like molecules;N-acyl amines;Fatty acids;Fatty amides;440.4104;7.9959;7.9959;;
753.4548;T9;71;Late;9;Succession;Late;1465;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;780.7153024;0;0;780.7153024;0;-1;-1;0;1561.430605;-1;0;0;780.7153024;0;0;0;0;0;0;0;0;0;0;0;780.7153024;C40H60N6O8;Carboxylic acids and derivatives;Peptides;Oligopeptides;Amino acids, peptides, and analogues;Organic acids and derivatives;Linear peptides;Amino acids and Peptides;Oligopeptides;753.4548;4.6214;4.6214;;
