row m/z;MBCe0130.mzML;MBCe0131.mzML;MBCe0132.mzML;MBCe0133.mzML;MBCe0135.mzML;MBCe0136.mzML;MBCe0137.mzML;MBCe0138.mzML;MBCe0139.mzML;MBCe0140.mzML;MBCe0141.mzML;MBCe0142.mzML;MBCe0143.mzML;MBCe0144.mzML;MBCe0145.mzML;MBCe0146.mzML;MBCe0147.mzML;MBCe0148.mzML;MBCe0149.mzML;MBCe0150.mzML;MBCe0151.mzML;MBCe0152.mzML;MBCe0154.mzML;MBCe0155.mzML;MBCe0156.mzML;MBCe0157.mzML;MBCe0158.mzML;MBCe0159.mzML;MBCe0162.mzML;MBCe0163.mzML;MBCe0164.mzML;MBCe0165.mzML;MBCe0166.mzML;MBCe0167.mzML;MBCe0168.mzML;MBCe0169.mzML;MBCe0171.mzML;MBCe0172.mzML;MBCe0173.mzML;MBCe0174.mzML;MBCe0175.mzML;MBCe0176.mzML;MBCe0177.mzML;MBCe0178.mzML;MBCe0180.mzML;MBCe0181.mzML;MBCe0182.mzML;MBCe0183.mzML;MBCe0184.mzML;MBCe0185.mzML;MBCe0186.mzML;MBCe0191.mzML;MBCe0192.mzML;MBCe0193.mzML;MBCe0194.mzML;MBCe0195.mzML;MBCe0196.mzML;MBCe0197.mzML;MBCe0198.mzML;MBCe0199.mzML;MBCe0200.mzML;MBCe0201.mzML;MBCe0202.mzML;MBCe0203.mzML;MBCe0204.mzML;MBCe0205.mzML;MBCe0206.mzML;MBCe0207.mzML;MBCe0208.mzML;MBCe0209.mzML;MBCe0210.mzML;MBCe0211.mzML;MBCe0212.mzML;MBCe0213.mzML;MBCe0214.mzML;MBCe0215.mzML;MBCe0216.mzML;MBCe0217.mzML;MBCe0218.mzML;MBCe0219.mzML;MBCe0220.mzML;MBCe0221.mzML;MBCe0222.mzML;MBCe0223.mzML;MBCe0224.mzML;MBCe0225.mzML;MBCe0226.mzML;MBCe0227.mzML;MBCe0228.mzML;MBCe0229.mzML;MBCe0230.mzML;MBCe0231.mzML;MBCe0232.mzML;MBCe0233.mzML;MBCe0234.mzML;MBCe0235.mzML;MBCe0236.mzML;MBCe0237.mzML
;Day3;Day3;Day3;Day3;Day3;Day3;Day3;Day3;Day7;Day7;Day7;Day7;Day7;Day7;Day7;Day7;Day7;Day10;Day10;Day10;Day10;Day10;Day10;Day10;Day10;Day15;Day15;Day15;Day15;Day15;Day15;Day15;Day15;Day23;Day23;Day23;Day23;Day23;Day23;Day23;Day29;Day29;Day29;Day29;Day29;Day29;Day29;Day29;Day44;Day44;Day44;Day44;Day44;Day57;Day57;Day57;Day57;Day57;Day57;Day57;Day57;Day57;Day71;Day71;Day71;Day71;Day71;Day71;Day71;Day71;Day71;Day85;Day85;Day85;Day85;Day85;Day85;Day85;Day85;Day85;Day99;Day99;Day99;Day99;Day99;Day99;Day99;Day99;Day99;Day113;Day113;Day113;Day113;Day113;Day113;Day113;Day113;Day113
122.0963291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;379.497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125.9863511;22284.45;17044.688;22000.223;14132.536;26601.283;17991.035;10196.855;12113.665;1748.9796;1551.0203;1568.3522;1909.1487;14392.823;1443.9589;1609.9099;1770.2781;0;12668.997;8193.605;10178.875;9692.236;10292.008;0;9848.002;15742.596;0;0;0;0;1674.9799;0;0;0;0;0;0;6809.791;14077.401;8842.958;0;0;1537.7424;13498.025;11356.18;6841.776;11315.832;12407.602;12135.678;6806.605;0;0;0;0;0;0;6293.292;5351.5947;7786.691;8553.565;6218.313;12139.558;7886.867;0;0;1410.8619;1157.5311;1413.6027;1738.0001;0;1258.4161;0;0;0;0;0;0;1832.062;0;0;0;0;0;0;1903.033;0;1598.4185;1797.5396;1763.5905;1717.7312;0;0;0;1719.0967;0;1536.8062;0;0;0
125.9861822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157.93822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125.9862716;0;0;0;0;0;0;0;1358.6556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1546.2069;0;0;0;0;1613.1135;0;0;0;1166.3063;0;0;0;0;0;0;1425.1556;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127.0502129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;307.7235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127.1113872;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;433.3474;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128.106585;0;0;1699.1523;0;0;0;1813.1384;0;0;1865.1248;2241.2441;2390.4685;0;0;0;0;1086.5997;0;0;2255.8042;0;2225.2263;2079.1592;2474.4058;0;0;0;0;1932.6709;0;0;2250.6921;2033.7969;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1956.5834;0;0;2526.9236;1891.3094;0;0;0;967.1745;1679.966;1826.2352;0;0;0;0;0;0;0;1983.8179;0;2447.3567;0;0;0;0;0;0;2187.2993;973.2492;1096.7576;1586.0221;0;1746.6993;1295.4055;1400.6683;1169.1965;0;1190.8839;0;2082.0366;0;1012.619;0;1701.058;1260.6077;0;952.1566
128.9646091;0;0;0;0;0;0;0;0;0;0;0;0;416.87173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
129.0657681;0;0;0;1016.4082;0;0;0;0;676.0142;0;0;0;0;0;0;0;0;0;0;0;764.36066;0;0;0;0;0;690.5864;538.1524;0;489.41122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;925.51605;0;0;0;0;0;504.1273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;448.08902;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
129.065778;0;0;0;0;0;0;816.8005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
129.0659495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1971.1248;0;0;981.63086;0;0;0;2132.1055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1481.8419;0;0;0;0;0;0
129.0658673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1983.4431;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130.0497801;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;945.51263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130.0858157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;295.82935;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130.0861739;0;0;0;0;0;0;0;0;0;558.16376;0;0;0;0;573.2757;0;401.2822;1435.4381;0;2323.578;0;881.06665;2057.3225;771.0547;0;0;0;0;0;0;0;0;1010.20337;4050.238;1550.3386;3287.8545;1157.8124;0;487.59363;0;0;1484.6865;1757.3035;1790.9197;1730.3198;1524.2524;1466.1962;1476.9589;0;0;1430.2899;1721.5773;750.0971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130.1589857;556.1462;297.8159;0;0;0;0;0;650.38995;0;0;0;0;0;0;0;0;0;0;400.7607;0;0;0;0;0;0;0;551.6792;1191.1844;0;337.5592;0;0;0;437.2608;0;0;0;575.5553;0;0;0;0;0;293.72974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;344.64783;0;0;0;0;0;0;0;0;0;0;859.51514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130.159001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;222.77138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
